iter	Passed	Remaining
0	14	11274
1	19	7897
2	23	6319
3	29	5858
4	33	5290
5	37	4936
6	38	4335
7	39	3878	8	43	3789	9	46	3701010	50	3651111	54	3601212	58	3541313	62	3501414	67	3501515	71	3501616	75	3491717	79	3461818	83	3441919	88	3453
20	92	3442
21	96	3414
22	100	3384
23	104	3377
24	108	3362525	112	3351
26	116	3322727	119	3292828	123	3282929	128	3292
30	132	3280
31	136	3266
32	140	3256
33	144	3247
34	148	3244
35	152	3230
36	157	3248
37	161	3237
38	165	3223
39	169	3218
40	174	3228
41	178	3218
42	182	3210
43	186	3202
44	190	3194
45	194	3182
46	198	3180
47	203	3181
48	207	3180
49	211	3168
50	215	3167
51	219	3160
52	224	3166
53	225	3121
54	229	3106
55	232	3089
56	236	3081
57	240	3070
58	245	3080
59	250	3094
60	254	3082
61	260	3098
62	264	3088
63	268	3092
64	272	3077
65	277	3091
66	281	3083
67	286	3083
68	290	3073
69	293	3065
70	296	3048
71	300	3039
72	304	3035
73	308	374	374	313	3028
75	317	3027
76	329	3095
77	346	3203
78	350	3202
79	356	3209
80	361	3204
81	364	3193
82	368	3185
83	372	3174
84	376	3165
85	380	3159
86	384	3150
87	389	3147
88	393	3144
89	397	3137
90	403	3140
91	407	3134
92	411	3126
93	415	3124
94	419	3114
95	422	3101
96	427	3101
97	431	3091
98	435	3083
99	439	3074
100	442	3064
101	443	30310102	447	30210103	452	30210104	455	30110105	459	30110106	464	30010107	468	30010108	471	29910109	479	3006
110	484	3005
111	489	3006
112	494	3005
113	499	3004
114	502	2994
115	507	2995
116	513	2995
117	517	2990
118	521	2986
119	527	212120	537	30112121	542	30112122	546	30012123	551	30012124	557	30112125	562	30012126	566	30012127	571	30012128	575	29912129	579	29813130	583	29813131	588	29713132	592	29613133	596	29613134	600	295135	615	3003
13136	609	294137	623	2989
138	627	2984
139	632	2980
14140	626	29214141	631	29214142	637	29214143	641	29214144	645	29114145	649	29014146	654	29014147	657	28914148	663	28914149	667	28915150	672	28815151	676	28815152	681	28815153	685	28715154	689	28615155	693	28615156	697	28515157	701	28515158	705	28415159	709	28316160	713	283161	728	2867
162	732	2863
163	740	2870
164	746	2871
165	751	2869
166	756	2868
167	760	2862
168	765	2856
169	769	2850
170	774	2847
171	778	2843
172	783	2840
173	788	2837
174	793	2833
175	798	2829
176	803	2826
177	807	2821
178	811	2815
179	814	2807
180	820	2805
181	824	2798
182	828	2793
